축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
제13회 남한강축제,법천소공원,7/29/23,7/30/23,문화예술공연+노래자랑 등,남한강축제위원회,남한강축제위원회,강원도 원주시청,033-737-5630,,,강원도 원주시 부론면 앙암로 1234,강원도 원주시 법천리 1575-1,37.20602239,127.7482249,5/17/23,4191000,강원특별자치도 원주시
치악산찰옥수수축제,문막체육공원,7/1/23,7/1/23,지역 옥수수 판매 및 농특산물 직거래장터 운영 등,문막농업협동조합,문막농업협동조합,강원도 원주시청,033-737-1164,,,,강원도 원주시 문막읍 문막리 329-45,37.3087155,127.8115249,5/17/23,4191000,강원특별자치도 원주시
치악산복숭아축제,댄싱공연장 일원,8/1/23,8/1/23,지역 복숭아 판매+품평회+기타 등,치악산복숭아원주시협의회,치악산복숭아 원주시협의회,강원도 원주시청,033-737-4131,,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.3364295,127.9462614,5/17/23,4191000,강원특별자치도 원주시
2023 원주 댄싱카니발,댄싱공연장 일원,9/22/23,9/24/23,댄싱경연+문화예술공연+각종 체험 등,원주문화재단,강원도 원주시청,강원도 원주시청,033-737-5123,,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.3364295,127.9462614,5/17/23,4191000,강원특별자치도 원주시
981데이 : 중력 구월,9.81파크,9/8/23,10/3/23,중력으로 놀고 손 안에서 즐겨라,모노리스제주파크,모노리스제주파크,,1883-9810,blog.naver.com/981jeju/223208413445,,제주특별자치도 제주시 애월읍 천덕로 880-24,,33.39003694,126.3665286,12/5/23,6500000,제주특별자치도
2023 하영올레 걷기 축제 & 걷기주간,서귀포시청 제1청사,9/1/23,9/10/23,걷기주간(자유걷기) 걷기투어(테마투어) 걷기축제(메인축제),제주특별자치도 서귀포시,제주특별자치도 서귀포시,,064-760-3320,www.jejusta.or.kr/pages.php?p=10_1_1_1,,제주특별자치도 서귀포시 중앙로 105,,33.25420363,126.5602182,12/5/23,6500000,제주특별자치도
제19회 쇠소깍 축제,하효항과 쇠소깍 일대,9/9/23,9/10/23,테우체험 어린이 사생대회 청소년 페스티벌 가요제 현장참여 이벤트 등,효돈동연합청년회,효돈동연합청년회,효돈동주민센터 효돈동자생단체,064-760-4623,www.seogwipo.go.kr/festivals/blacksand/index.htm,,제주특별자치도 서귀포시 쇠소깍로 128,,33.25214808,126.6230025,12/5/23,6500000,제주특별자치도
절물약수암 제6회 산사음악회,제주절물자연휴양림 내 절물약수암 앞 특설무대,9/3/23,9/3/23,64년 된 제주의 전통 사찰이자 도민은 물론 관광객들에게도 많은 사람을 받고 있는 절물자연휴양림 내 위치한 한국불교조계종 절물약수암에서 산사음악회를 개최한다,한국불교조계종 절물약수암,한국불교조계종 절물약수암,,,www.instagram.com/healinginjeju01/,,제주특별자치도 제주시 명림로 584,,33.44004881,126.6252034,12/5/23,6500000,제주특별자치도
제2회 화북 포구문화제,화북동 화북포구 일원,9/22/23,9/23/23,보트타고 유적지 탐방 깅이잡기 고망낚시 예길따라 걸을락 체험프로그램(상설 부스 운영),제주특별자치도 제주시 화북동 화북동축제추진위원회,제주특별자치도 제주시 화북동,화북동단체장협의회 마을회 아파트자치외,064-728-4681,,,제주특별자치도 제주시 금산5길 18,,33.52450753,126.5645726,12/5/23,6500000,제주특별자치도
2023성안올레걷기축제,성안올레코스일원 물사랑홍보관광장 산지천북수구광장,9/16/23,9/17/23,코스별걷기 문화공연 체험프로그램 등 참여자 모두가 함께 참여하고 즐길 수 있는 다양한 행사가 펼쳐질 예정이다,제주특별자치도 제주시 관광진흥과,제주특별자치도 제주시 관광진흥과,,064-728-2752,blog.naver.com/seonganolle,,제주특별자치도 제주시 중앙로3길 36,,33.5151523,126.5283424,12/5/23,6500000,제주특별자치도
제28회 오리문화제,광명시민체육관 등,5/31/19,6/1/19,오리이원익 영우참배+토크콘서트+전시+체험마당+재현행사 등,광명문화원,광명시청,광명시의회,02-2618-5800,www.gmcc.or.kr/,광명문화원,경기도 광명시 철망산로 42,경기도 광명시 하안동 718-18,37.4674687,126.8732102,9/29/22,3900000,경기도 광명시
제29회 오리문화제,광명극장 등,10/9/21,10/10/21,오리이원익 영우참배+헌화식+오리이원익 청렴 토크콘서트 및 퀴즈대회+메타버스축제장에서 만남 오리 이원익 등,광명문화원,광명시청,광명시의회,02-2618-5800,www.gmcc.or.kr/,광명문화원,경기도 광명시 철망산로 42,경기도 광명시 하안동 718-18,37.4674687,126.8732102,9/29/22,3900000,경기도 광명시
농악대축제,광명문화원 공연장,10/13/21,10/13/21,전국학생농악경연대회(비대면)+개최공연 등,농악보존회,광명시청,광명시의회,02-899-1664,http://gmnongak.enterweb.co.kr/,농악대축제,경기도 광명시 철망산로 42,경기도 광명시 하안동 718-18,37.4674687,126.8732102,9/29/22,3900000,경기도 광명시
지식정보화시대 책이 밥 먹여 주는 시대,춘천사회혁신센터내 안녕하우스,8/10/22,8/10/22,아이들 독서 교육 강연,춘천시민언론협동조합 주간신문 춘천사람들,춘천시민언론협동조합 주간신문 춘천사람들,강원도교육청,033-252-6217,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10677&search_type=1&search_keyword=ECA780EC8B9DECA095EBB3B4ED9994EC8B9CEB8C803F+ECB185EC9DB4+EBB0A5+EBA8B9EC97AC+ECA3BCEB8A94+EC8B9CEB8C8021,특강+강좌,강원도 춘천시 공지로 255,강원도 춘천시 효자동 303-14,37.864634,127.735428,1/12/23,4180000,강원도 춘천시
2021 강원도민 연극교실 금쪽같은 우리엄빠 참여자 모집,강원도립극단 연습실,12/4/21,12/5/21,2021 강원도민 연극교실 금쪽같은 우리엄빠 참여자 모집,강원도립극단,강원도립극단,,033-255-0496,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10001&search_type=1&search_keyword=2021+EAB095EC9B90EB8F84EBAFBC+EC97B0EAB7B9EAB590,특강+강좌,강원도 춘천시 안마산로 89 4층,강원도 춘천시 퇴계동 565-6,37.85546242,127.7258527,1/12/23,4180000,강원도 춘천시
2021 정책아카데미 청년정책기획자 양성 과정 참여자 모집 안내,강원도 청소년수련원,11/20/21,11/21/21,2021 정책아카데미 청년정책기획자 양성 과정 참여자 모집 안내,춘천시 청년청,춘천시 청년청,,033-910-3120,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=9991&search_type=1&search_keyword=2021+ECA095ECB185EC9584ECB9B4EB8DB0EBAFB8,특강+강좌,강원도 춘천시 신샘밭로 89 강원도청소년수련원,강원도 춘천시 사농동 277-1,37.92294014,127.7206389,1/12/23,4180000,강원도 춘천시
창조성워크샵 creativity,안현옥 몸맘창작소,11/7/21,11/7/21,창조성워크샵(creativity),안현옥 몸맘창작소,안현옥 몸맘창작소,,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=9965,특강+강좌,강원도 춘천시 영서로 2299,강원도 춘천시 온의동 152-8,37.865771,127.719531,1/12/23,4180000,강원도 춘천시
재춘천인형극제_2021 콘텐츠 창의인재 동반 사업_공연예술의 저작권관련법,춘천인형극장,11/4/21,11/4/21,공연예술의 저작권관련법,(재)춘천인형극제,한국콘텐츠진흥원,,033-242-8452,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=9961,특강+강좌,강원도 춘천시 영서로 3017,강원도 춘천시 사농동 277-3 춘천인형극장,37.92101625,127.720197,1/12/23,4180000,강원도 춘천시
한국저작권위원회 2021년 11월 무료 온라인 교육 안내,온라인,11/1/21,11/30/21,2021년 한국저작권위원회 원격(온라인) 저작권 교육,한국저작권위원회,한국저작권위원회,,055-792-0228,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=9959&search_type=1&search_keyword=ED959CEAB5ADECA080EC9E91EAB68CEC9C84EC9B90ED9A8C5D+2021EB8584+11EC9B94+EBACB4EBA38C+EC98A8EB9DBCEC9DB8+EAB590EC9CA1+EC9588EB82B4,특강+강좌,경상남도 진주시 충의로 19,경상남도 진주시 충무공동 227-2,35.17824568,128.146167,1/12/23,4180000,강원도 춘천시
2021 상상언더 청소년 교육생 모집밴드 댄스,상상언더그라운드,11/6/21,12/11/21,조운동 도시재생현장지원센터에서 중앙로 상상언더그라운드의 청소년 시설을 이용하여 청소년 문화활동 및 여가활동을 도모하기 위해 맞춤 교육프로그램을 운영하고자 합니다.,조운동 도시재생현장지원센터,조운동 도시재생현장지원센터,강원도청+강원도 춘천시청+상상언더그라운드+조운동네,033-250-4937,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=9956,특강+강좌,강원도 춘천시 중앙로 38-5 다74-75,강원도 춘천시 요선동 19,37.8830376,127.7283163,1/12/23,4180000,강원도 춘천시
춘천인형극제 문화예술교육사 실습처 문화예술 장르의 결합과 현장실습,온라인,11/1/21,11/4/21,문화예술교육사 실습처 문화예술 장르의 결합과 현장실습,한국문화예술교육진흥원,문화체육관광부,,033-242-8452,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=9921&search_type=1&search_keyword=ECB698ECB29CEC9DB8ED9895EAB7B9ECA09C5D+EBACB8ED9994EC9888EC88A0EAB590EC9CA1EC82AC+EC8BA4EC8AB5ECB298+EBACB8ED9994EC9888EC88A0+EC9EA5EBA5B4EC9D98+EAB2B0ED9,특강+강좌,세종특별자치시 갈매로 388 정부세종청사 15동,세종특별자치시 어진동 650 문화체육관광부,36.497575,127.265787,1/12/23,4180000,강원도 춘천시
2021 청년청 일자리 지원사업 글로벌기업취업JOB GO 시즌2 모집안내,온라인,10/30/21,11/30/21,2021년 청년들의을 위한 취업콘서트와 그룹멘토링,춘천시 청년청,춘천시 청년청,,033-910-3120,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=9920&search_type=1&search_keyword=2021+ECB2ADEB8584ECB2AD+EC9DBCEC9E90EBA6AC+ECA780EC9B90EC82ACEC97855D+EAB880EBA19CEBB28CEAB8B0EC9785ECB7A8EC9785JOB+GO21+EC8B9CECA68C2+EBAAA8ECA791EC9588E,특강+강좌,강원도 춘천시 공지로 255 3층,강원도 춘천시 효자동 303-14,37.86462536,127.735421,1/12/23,4180000,강원도 춘천시
춘천시 청년청 청춘클라스 3차 네트워킹데이 춘천의 길 투어프로그램,커먼즈필드,10/30/21,10/30/21,춘천의 길_투어프로그램,춘천시 청년청,춘천시 청년청,,033-910-3107,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=9914,특강+강좌,강원도 춘천시 공지로 255,강원도 춘천시 효자동 303-14,37.86462536,127.735421,1/12/23,4180000,강원도 춘천시
홍라무와 함께하는 몸시 워크샵,무하 공연예술연습공간,10/17/21,10/17/21,홍라무와 함께하는 몸시 워크샵,안현옥 몸맘창작소,안현옥 몸맘창작소+사회적협동조합 무하,,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=9889&search_type=1&search_keyword=ED998DEB9DBCEBACB4EC9980+ED95A8EABB98ED9598EB8A94+EBAAB8EC8B9C+EC9B8CED81ACEC83B5,특강+강좌,강원도 춘천시 행촌로 35(퇴계동),강원도 춘천시 퇴계동 890-4,37.85984082,127.724394,1/12/23,4180000,강원도 춘천시
한국관광공사 2021 공연관광 마케팅 아카데미_사전모집,온라인,10/15/21,1/14/22,한국관광공사 2021 공연관광 마케팅 아카데미_사전모집,한국관광공사,한국관광공사,,02-766-6791,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=9887&search_type=1&search_keyword=ED959CEAB5ADEAB480EAB491EAB3B5EC82AC5D+2021+EAB3B5EC97B0EAB480EAB491+EBA788ECBC80ED8C85+EC9584ECB9B4EB8DB0EBAFB8_EC82ACECA084EBAAA8ECA791,특강+강좌,강원도 춘천시 중앙로 16 무림빌딩,강원도 춘천시 요선동 4-9,37.88342559,127.7299087,1/12/23,4180000,강원도 춘천시
통합문화예술교육프로그램 나와 만나는 예술 속 몸 짓 손 짓,춘천인형극장,9/16/21,10/28/21,"통합문화예술교육프로그램 나와 만나는 예술 속 몸 짓, 손 짓",강원문화재단+강원문화예술교육지원센터,문화체육관광부+강원도,,070-4633-5807,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7689&search_type=1&search_keyword=ED86B5ED95A9EBACB8ED9994EC9888EC88A0EAB590EC9CA1ED9484EBA19CEAB7B8EB9EA8,특강+강좌,강원도 춘천시 영서로 3017,강원도 춘천시 사농동 277-3 춘천인형극장,37.92101625,127.720197,1/12/23,4180000,강원도 춘천시
2021 강원도립극단 배우술훈련,강원도립극단,9/27/21,10/7/21,2021 강원도립극단 배우술훈련,강원도립극단,강원도립극단,,033-255-0496,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7686&search_type=1&search_keyword=2021+EAB095EC9B90EB8F84EBA6BDEAB7B9EB8BA8+EBB0B0EC9AB0EC88A0ED9B88EBA0A8,특강+강좌,강원도 춘천시 안마산로 89 4층,강원도 춘천시 퇴계동 565-6,37.85546242,127.7258527,1/12/23,4180000,강원도 춘천시
달콤한 잠A Sweet Slumber,축제극장 몸짓,7/17/20,7/18/20,"달콤한 잠은 기억, 정육면체, 그리고 달콤한 잠. 이 세 작품을 통해 현대인들이 받아들이는 변형된 기억의 조각, 스스로를 옭아매는 마음, 그리고 또 다른 마음들의 움직임을 언어, 소리의 충돌",프로젝트 시공간,프로젝트 시공간,춘천문화재단,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7567,공연관람,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531,37.873069,127.727824,1/12/23,4180000,강원도 춘천시
2020 강원민족예술한마당 끽해야 한판,춘천 공지천 의암공원 일원,6/12/20,6/13/20,"코로나19의 빠른 종식과 강원도민의 건강과 안녕을 기원하는 한마당, 우리 안의 신명으로 분단을 극복하고 평화통일의 시대를 염원하는 한마당",강원민족예술한마당 조직위원회,(사)강원민예총,강원도청,033-252-8907,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7554&search_type=1&search_keyword=2020+EAB095EC9B90EBAFBCECA1B1EC9888EC88A0ED959CEBA788EB8BB9,공연관람,강원도 춘천시 수변공원길 18,강원도 춘천시 삼천동 469-15,37.87454686,127.7061971,1/12/23,4180000,강원도 춘천시
뮤지컬 루나틱,춘천문화예술회관,6/13/20,6/13/20,뮤지컬 루나틱,춘천연극제,춘천연극제+G1강원민방,,033-256-8246,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7553&search_type=1&search_keyword=EBAEA4ECA780ECBBAC+EBA3A8EB8298ED8BB1,공연관람,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12 춘천문화예술회관,37.87261579,127.7293405,1/12/23,4180000,강원도 춘천시
2022링크전-○△□,문화공간역,9/16/22,9/29/22,링크전은 소통과 연결을 화두로 삼아 해마다 주제를 달리하여 개최하는 전시,(사)민족미술인협회 춘천지부,춘천문화재단,,033-252-0731,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10794,전시관람,강원도 춘천시 영서로 2260,강원도 춘천시 퇴계동 633-2 남춘천역,37.86404439,127.7239152,1/12/23,4180000,강원도 춘천시
2022 서현종 개인전,공간 제로(zero),10/1/22,10/10/22,2022 서현종의 11번째 개인전-그의 이야기속에 나오는 나무 한 그루展,서현종,서현종,춘천문화재단,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10791&search_type=1&search_keyword=2022+EC849CED9884ECA285+EAB09CEC9DB8ECA084,전시관람,강원도 춘천시 동면 공단로 104,강원도 춘천시 동면 장학리 791-37,37.895357,127.748964,1/12/23,4180000,강원도 춘천시
제19회 겸로 이형제 개인전 봄내의 골목길-어제와 오늘,춘천미술관 1층,9/9/22,9/14/22,제19회 겸로 이형제 개인전 봄내의 골목길-어제와 오늘,이형제,이형제,,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10780&page=4,전시관람,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.731335,1/12/23,4180000,강원도 춘천시
강원대학교 산학협력단 K-Digital Training 제2기 교육생 모집,강원대학교 춘천캠퍼스,10/4/22,3/13/23,언리얼엔진 기반 메타버스 개발자 양성 과정 교육생 모집,고용노동부,강원대학교 산학협력단,,033-250-8945,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10763,행사+축제,강원도 춘천시 강원대학길 1,강원도 춘천시 효자동 192-1,37.86802431,127.7483874,1/12/23,4180000,강원도 춘천시
자연과 영혼을 담은 구자근展,춘천미술관 전관,9/2/22,9/7/22,자연과 영혼을 담은,구자근,구자근,,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10753&search_type=1&search_keyword=EC9E90EC97B0EAB3BC+EC9881ED98BCEC9D84+EB8BB4EC9D805D+EAB5ACEC9E90EAB7BCE5B195,전시관람,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.731335,1/12/23,4180000,강원도 춘천시
한동국 현관문,개나리미술관,9/2/22,9/18/22,"개나리미술관에서 원주출신,한동국의 첫 개인전을 개최",한동국,강원문화재단,,070-8095-3899,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10752&search_type=1&search_keyword=ED959CEB8F99EAB5AD+3A+ED9884EAB480EBACB8,전시관람,강원도 춘천시 동내면 거두택지길44번길 7-19,강원도 춘천시 동내면 거두리 1123-6,37.85454653,127.758295,1/12/23,4180000,강원도 춘천시
2022 춘천학 학술대회 댐과 춘천의 미래,강원대학교 60주년기념관 국제회의실,8/26/22,8/26/22,2022 춘천학 학술대회,춘천문화원 춘천학연구소,춘천문화원 춘천학연구소,,033-244-5106,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10710&search_type=1&search_keyword=2022+ECB698ECB29CED9599+ED9599EC88A0EB8C80ED9A8C5D+EB8C90EAB3BC+ECB698ECB29CEC9D98+EBAFB8EB9E98,행사+축제,강원도 춘천시 강원대학길 1,강원도 춘천시 효자동 192-1,37.86802431,127.7483874,1/12/23,4180000,강원도 춘천시
할말하않 황효창展,개나리미술관,8/16/22,8/28/22,황효창 작가의 초대전,개나리미술관,개나리미술관,,070-8095-3899,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10703&search_type=1&search_keyword=ED95A0EBA790ED9598EC958A+3A+ED99A9ED9AA8ECB0BDE5B195,전시관람,강원도 춘천시 동내면 거두택지길44번길 7-19,강원도 춘천시 동내면 거두리 1123-6,37.85454653,127.758295,1/12/23,4180000,강원도 춘천시
힘찬 제왕수탉_ 제왕수탉 힘찬울림 Coq-imperial Powerful sound,춘천미술관 전관,8/19/22,8/31/22,이승철 초대전 LegendLee Invitation Exhibit,(사)한국미술협회 춘천지부,(사)한국미술협회 춘천지부,강원도 춘천시청,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10691,전시관람,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.731335,1/12/23,4180000,강원도 춘천시
유관선 사진전- 해빙,문화공간 역,6/3/22,6/9/22,2년간의 조사와 촬영시기를 체크하고 2주간의 변화되는 형상을 표현,유관선,유관선,춘천문화재단,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10505,전시관람,강원도 춘천시 영서로 2260,강원도 춘천시 퇴계동 633-2 남춘천역,37.86404439,127.7239152,1/12/23,4180000,강원도 춘천시
길창인 개인전 - 회귀,갤러리 상상언더,7/16/22,5/30/22,길창인 개인전 회귀’,길창인,길창인,춘천문화재단,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10499&search_type=1&search_keyword=EAB8B8ECB0BDEC9DB8+EAB09CEC9DB8ECA084,전시관람,강원도 춘천시 금강로 86,강원도 춘천시 운교동 169,37.87764946,127.72981,1/12/23,4180000,강원도 춘천시
춘천여성미술작가회『만화방창』展,춘천미술관 1~2층 전관,6/17/22,6/22/22,만화방창이라는 주제로 만물이 소생하듯 여성작가의 고뇌와 변화하는 모습을 다양한 작업 영역에서 작가들의 조형언어로 현대미술의 웅지를 펼치고자 한다.,춘천여성미술작가회,춘천여성미술작가회,춘천문화재단,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10488&search_type=1&search_keyword=ECB698ECB29CEC97ACEC84B1EBAFB8EC88A0EC9E91EAB080ED9A8CE3808EEBA78CED9994EBB0A9ECB0BDE3808FE5B195,전시관람,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.731335,1/12/23,4180000,강원도 춘천시
제2회 춘천 국제 어린이 그림 교류전,춘천미술관 전관,5/27/22,6/1/22,본 전시는 춘천시 해외교류도시와의 미술작품 교류를 통해 문화교류의 장을 만드는 전시,강원도 춘천시청,강원도 춘천시청,,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10487&search_type=1&search_keyword=ECA09C2ED9A8C+ECB698ECB29C+EAB5ADECA09C+EC96B4EBA6B0EC9DB4+EAB7B8EBA6BC+EAB590EBA598ECA084,전시관람,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.731335,1/12/23,4180000,강원도 춘천시
애니메이션박물관 제17회 기획전 세상을 바꾼 불꽃 태일이,애니메이션박물관 2층 기획전시실,5/3/22,4/16/23,한국 노동현대사를 대표하는 전태일이 2021년 12월 장편 애니메이션으로 탄생했다.,(재)강원정보문화산업진흥원,(재)강원정보문화산업진흥원,강원도청+강원도 춘천시청,033-245-6470,https://www.cccf.or.kr/Home/H40000/H40400/boardList?cate_id=&search_type=1&search_keyword=EC95A0EB8B88EBA994EC9DB4EC8598EBB095EBACBCEAB480+ECA09C17ED9A8C+EAB8B0ED9A8DECA084+5BEC84B8EC8381EC9D84+EBB094EABEBC+EBB688EABD832C+ED839CEC9DBCEC9DB45D,전시관람,강원도 춘천시 서면 박사로 854 애니메이션박물관,강원도 춘천시 현암리 367-3,37.892994,127.691958,1/12/23,4180000,강원도 춘천시
개나리미술관 신진작가공모 선정작가전-최인엽,개나리미술관,4/22/22,5/5/22,신진작가공모 선정작가전-최인엽,개나리미술관,개나리미술관,춘천문화재단,070-8095-3899,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10404,전시관람,강원도 춘천시 동내면 거두택지길44번길 7-19,강원도 춘천시 동내면 거두리 1123-6,37.85454653,127.758295,1/12/23,4180000,강원도 춘천시
Re Birth - 다시 삶으로,춘천미술관 1F,4/15/22,4/20/22,Re Birth - 다시 삶으로 홍연화 첫번째 개인전,홍연화,홍연화,,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10383,전시관람,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.731335,1/12/23,4180000,강원도 춘천시
2022 KT&G 상상마당 춘천 아트갤러리 정기대관 공고,KT&G 상상마당 춘천 아트갤러리 1~2,3/10/22,3/25/22,춘천 아트갤러리 정기대관 공고,KT&G 상상마당 춘천,KT&G 상상마당 춘천,,070-7586-0550,https://www.sangsangmadang.com/customer/notice/detail/5141,전시관람,강원도 춘천시 스포츠타운길399번길 25 어린이회관,강원도 춘천시 삼천동 223-2 어린이회관,37.874066,127.702455,1/12/23,4180000,강원도 춘천시
만나고 싶었습니다 창작의 자극 그리고 예술로 환기,공간공일갤러리,3/4/22,3/16/22,코로나19로 예술적 활동의 위축과 교류의 단절로 가라앉은 작가들의 창작 동기를 일깨워 그 동기부여의 방법을 작가마다 나름의 방식대로 찾아보고 그 결과물을 일반 대중과 함께 나누는 예술로 환기하기 프로젝트,예술밭사이로+춘천문화재단,예술밭사이로,춘천문화재단,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10234&search_type=1&search_keyword=EBA78CEB8298EAB3A0+EC8BB6EC9788EC8AB5EB8B88EB8BA4+E28093+ECB0BDEC9E91EC9D98+EC9E90EAB7B9+EAB7B8EBA6ACEAB3A0+EC9888EC88A0EBA19C+ED9998EAB8B0,전시관람,강원도 춘천시 향교앞길 13-4 1층,강원도 춘천시 교동 140 1층,37.879892,127.734359,1/12/23,4180000,강원도 춘천시
대관령눈꽃축제,대관령면 횡계리 송천일원,1/20/23,1/29/23,눈조각전시+눈썰매체험,대관령면축제위원회,강원특별자치도 평창군청,강원특별자치도 평창군청,033-335-3995,http://www.snowfestival.net,,강원특별자치도 평창군 대관령면 사부랑길224-2,강원특별자치도 평창군 대관령면 횡계리 661,37.70493356,128.7017723,7/28/23,4281000,강원특별자치도 평창군
2023 노원달빛산책,상계역~ 중계역 2.5KM 구간,10/13/23,11/5/23,"등,빛 작품 전시",노원문화재단,노원문화재단,,,,,서울특별시 노원구 상계동 683-1,,,,7/21/23,3100000,서울특별시 노원구
고창갯벌축제,만돌갯벌체험장+하전갯벌체험장,6/23/23,6/25/23,개막행사+갯벌체험+풍천장어잡기+해양치유프로그램+공연문화행사 등,고창갯벌축제위원회,고창갯벌축제위원회,해양수산부+전라북도+고창군+고창군수산업협동조합+만월어촌계+하전어촌계+자율관리공동체+한빛원전,063-560-2632,http://www.gochang.go.kr/tour/,개막행사+갯벌체험+풍천장어잡기+해양치유프로그램+공연문화행사 등,전라북도 고창군 심원면 애향갯벌로 320,,35.53007446,126.5150432,7/11/23,4780000,전라북도 고창군
무장읍성축제,무장읍성 일원,5/15/23,5/15/23,고유제(진무제)+현감부임 행사+떡메치기 등,(사)고창무장읍성보존회,(사)고창무장읍성보존회,고창군+영광한빛원자력본부+NH 농협 고창군지부+관내 14개 읍면,063-560-2949,http://www.gochang.go.kr/tour/,축성602주년 기념식,전라북도 고창군 무장면 무장읍성길 45,전라북도 고창군 고창군 무장면 성내리 156,35.41841778,126.5573463,7/11/23,4780000,전라북도 고창군
고창해풍고추축제,해리복지회관일원,8/26/23,8/27/23,기념식+고추품평회+공연+전시판매+고추관련체험 등,고창해풍고추축제위원회,고창해풍고추축제위원회,고창군+한수원(주)한빛원자력본부+농협 고창군지부,063-560-2695,http://www.gochang.go.kr/tour/,기념식+고추품평회+공연+전시판매+고추관련체험 등,전라북도 고창군 해리면 청해1길 15,전라북도 고창군 해리면 하련리 628-3,35.46113146,126.5378146,7/11/23,4780000,전라북도 고창군
강원도립극단 우리가족 본격 소통 공감 연극 놀이터 금쪽같은 우리 엄빠,강원도립극단 연습실,7/23/22,7/31/22,가족을 주제로 참여자 모두가 역할을 갖고 가족과 함께 공감할 수 있는 이야기를 나누는 참여형 프로그램,강원도립극단,강원도립극단,,033-255-0496,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10583&search_type=1&search_keyword=EAB095EC9B90EB8F84EBA6BDEAB7B9EB8BA85D+EC9AB0EBA6ACEAB080ECA1B1+EBB3B8EAB2A9,참여형 프로그램,강원도 춘천시 안마산로 89 4층,강원도 춘천시 퇴계동 565-6,37.85546242,127.7258527,1/12/23,4180000,강원도 춘천시
자연이 주는 선물_신동필 사진전,춘천미술관 제1 전시실,6/24/22,6/29/22,신동필 사진전,신동필,신동필,,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10578&search_type=1&search_keyword=EC9E90EC97B0EC9DB4+ECA3BCEB8A94+EC84A0EBACBC_EC8BA0EB8F99ED9584+EC82ACECA784ECA084,전시,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.73132,1/12/23,4180000,강원도 춘천시
